| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:201:20:201:45                      | ansi1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:199:24:199:28                      | Ansi                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:395:12:395:15                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:203:20:203:38                      | ansi1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:199:24:199:28                      | NoAnsi                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:217:16:217:21                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:208:13:208:23                      | ansi2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:207:24:207:28                      | isEnabled                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:187:27:187:35                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:209:20:209:35                      | ansi2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:207:24:207:28                      | Ansi2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:391:24:391:28                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:211:20:211:35                      | ansi2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:207:24:207:28                      | NoAnsi                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:217:16:217:21                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:218:13:218:57                      | NoAnsi                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:217:16:217:21                      | Ansi                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:395:12:395:15                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:218:22:218:49                      | NoAnsi                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:217:16:217:21                      | determineStringBuilder               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:221:38:221:59                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:223:24:223:44                      | determineStringBuilder              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:221:38:221:59                      | StringBuilder                        | file:///87/java.base/java/lang/StringBuilder.sig:0:0:0:0                                                                                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:225:24:225:56                      | determineStringBuilder              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:221:38:221:59                      | StringBuilder                        | file:///87/java.base/java/lang/StringBuilder.sig:0:0:0:0                                                                                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:229:23:229:75                      | determineStringBuilder              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:221:38:221:59                      | IllegalArgumentException             | file:///879A/java.base/java/lang/IllegalArgumentException.sig:0:0:0:0                                                                                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:384:16:384:55                      | Ansi0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:383:24:383:28                      | Ansi                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:395:12:395:15                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:384:28:384:48                      | Ansi0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:383:24:383:28                      | StringBuilder                        | file:///87/java.base/java/lang/StringBuilder.sig:0:0:0:0                                                                                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:388:16:388:69                      | Ansi1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:387:24:387:28                      | Ansi                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/jansi/src/main/java/org/fusesource/jansi/Ansi.java:395:12:395:15                      |
