| ...->...                                             | ()                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:381:25:390:25               |    0 |      |
| new StringWriter(...)                                | StringWriter()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java:875:26:875:43               |    0 |      |
| super(...)                                           | BaseObject()                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/BaseObjectPoolConfig.java:32:23:32:42                  |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/CallStackUtils.java:57:13:57:26                        |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultEvictionPolicy.java:41:14:41:34                 |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObject.java:58:12:58:30                   |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObject.java:252:38:252:56                 |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObjectInfo.java:41:12:41:34               |    0 |      |
| new StringWriter(...)                                | StringWriter()                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObjectInfo.java:72:33:72:50               |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/DefaultPooledObjectInfo.java:106:39:106:57             |    0 |      |
