| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:592:17:600:17        |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:592:21:592:31        |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:601:28:601:54        |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:605:32:605:43        |    0 |      |
| new IOException(...)                                | IOException()                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:613:19:613:35        |    0 |      |
| new IOException(...)                                | IOException()                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:623:19:623:35        |    0 |      |
| new IOException(...)                                | IOException()                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatter.java:633:19:633:35        |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:40:14:40:38   |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:68:20:68:46   |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:667:17:667:43 |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:694:17:694:43 |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:707:17:707:43 |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:719:17:727:17 |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:719:21:719:32 |    0 |      |
| new (...)                                           | ()                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:741:17:748:17 |    0 |      |
| super(...)                                          | Object()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:741:21:741:31 |    0 |      |
| new MoneyFormatterBuilder(...)                      | MoneyFormatterBuilder()                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-money/src/test/java/org/joda/money/format/TestMoneyFormatterBuilder.java:770:29:770:55 |    0 |      |
