| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | plus                                                                          | plus(Iterable<? extends BigMoneyProvider>)                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:787:21:787:24                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:787:76:794:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | withAmount                                                                    | withAmount(double)                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:756:21:756:30                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:756:47:758:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | withAmount                                                                    | withAmount(BigDecimal)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:731:21:731:30                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:731:51:737:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | isNegativeOrZero                                                              | isNegativeOrZero()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:716:20:716:35                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:716:39:718:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | isNegative                                                                    | isNegative()                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:707:20:707:29                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:707:33:709:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | isPositiveOrZero                                                              | isPositiveOrZero()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:698:20:698:35                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:698:39:700:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | isPositive                                                                    | isPositive()                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:689:20:689:29                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:689:33:691:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | isZero                                                                        | isZero()                                                                                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:680:20:680:25                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:680:29:682:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | getMinorPart                                                                  | getMinorPart()                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:667:16:667:27                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:667:31:673:5                          |
| BigMoney                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:44:20:44:27                           | getAmountMinorInt                                                             | getAmountMinorInt()                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:651:16:651:32                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/joda-money/src/main/java/org/joda/money/BigMoney.java:651:36:653:5                          |
