| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:478:17:479:42                                     | decompressBBitSlotsWithHardCodesWithIntBuffer | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:475:30:475:74                                     | unpack                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDeltaUnpack128WIthIntBuffer.java:17:31:17:36                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:502:31:504:71                                     | compressBlockByS16                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:496:28:496:45                                     | s16Compress                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/Simple16WithHardCodes.java:92:33:92:43                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:531:31:532:63                                     | decompressBlockByS16                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:526:27:526:46                                     | s16Decompress                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/Simple16.java:128:33:128:45                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:545:31:547:40                                     | decompressBlockByS16WithIntBuffer             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:540:31:540:63                                     | s16DecompressWithIntBuffer                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/Simple16WithHardCodes.java:186:36:186:61                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:546:60:546:76                                     | decompressBlockByS16WithIntBuffer             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:540:31:540:63                                     | get                                           | file:///modules/java.base/java/nio/IntBuffer.class:0:0:0:0                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:557:31:561:62                                     | decompressBlockByS16WithIntBufferIntegrated   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:552:31:552:73                                     | s16DecompressWithIntBufferIntegrated          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/Simple16WithHardCodes.java:209:36:209:71                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:560:41:560:57                                     | decompressBlockByS16WithIntBufferIntegrated   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/LCPForDelta.java:552:31:552:73                                     | get                                           | file:///modules/java.base/java/nio/IntBuffer.class:0:0:0:0                                                                                                                                       |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:33:14:33:22                                         | PForDelta                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:33:14:33:22                                         | Object                                        | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:78:37:79:69                                         | compressOneBlockOpt                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:70:29:70:47                                         | checkBigNumbers                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:195:31:195:45                                        |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:82:25:83:43                                         | compressOneBlockOpt                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:70:29:70:47                                         | println                                       | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                                                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:85:39:86:42                                         | compressOneBlockOpt                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:70:29:70:47                                         | estimateCompressedSize                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/JavaFastPFOR/src/main/java/com/kamikaze/pfordelta/PForDelta.java:165:27:165:48                                        |
