| AidToNavigationReport                                              | AidToNavigationReport                       | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AidToNavigationReport.java:44:15:44:35                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AidToNavigationReport.java:44:83:46:5                          |
| AidToNavigationReport                                              | AidToNavigationReport                       | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AidToNavigationReport.java:44:15:44:35                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AidToNavigationReport.java:44:83:46:5                          |
| PositionFixingDevice                                               | fromInteger                                 | integer                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/PositionFixingDevice.java:44:37:44:47                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/PositionFixingDevice.java:44:66:53:2                     |
| PositionFixingDevice                                               | PositionFixingDevice                        | code                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/PositionFixingDevice.java:30:2:30:21                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/PositionFixingDevice.java:30:37:32:2                     |
| AidType                                                            | fromInteger                                 | integer                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AidType.java:67:24:67:34                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AidType.java:67:53:76:2                                  |
| AidType                                                            | AidType                                     | code                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AidType.java:53:2:53:8                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/AidType.java:53:24:55:2                                  |
| AssignedModeCommand                                                | AssignedModeCommand                         | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AssignedModeCommand.java:49:15:49:33                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AssignedModeCommand.java:49:81:51:5                            |
| AssignedModeCommand                                                | AssignedModeCommand                         | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AssignedModeCommand.java:49:15:49:33                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/AssignedModeCommand.java:49:81:51:5                            |
| BaseStationReport                                                  | BaseStationReport                           | nmeaMessages             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/BaseStationReport.java:43:15:43:31                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/BaseStationReport.java:43:79:45:5                              |
| BaseStationReport                                                  | BaseStationReport                           | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/BaseStationReport.java:43:15:43:31                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/BaseStationReport.java:43:79:45:5                              |
| SOTDMACommunicationState                                           | fromBitString                               | bitString                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:39:41:39:53                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:39:73:70:2                 |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | syncState                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | slotTimeout              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | numberOfReceivedStations | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | slotNumber               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | utcHour                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | utcMinute                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
| SOTDMACommunicationState                                           | SOTDMACommunicationState                    | slotOffset               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:10:29:33                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/aismessages/src/main/java/dk/tbsalling/aismessages/ais/messages/types/SOTDMACommunicationState.java:29:187:37:2                |
