| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:593:15:610:9                                             |    0 |      |
| super(...)                                                   | JavaVersion()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:593:9:593:13                                             |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:611:15:625:9                                             |    0 |      |
| super(...)                                                   | JavaVersion()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:611:9:611:13                                             |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:626:15:650:9                                             |    0 |      |
| super(...)                                                   | JavaVersion()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:626:9:626:13                                             |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:651:15:671:9                                             |    0 |      |
| super(...)                                                   | JavaVersion()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:651:9:651:13                                             |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:677:21:677:68                                            |    0 |      |
| super(...)                                                   | TypeCapture()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:677:25:677:63                                            |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:684:24:684:50                                            |    0 |      |
| super(...)                                                   | TypeCapture()                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:684:28:684:45                                            |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:592:10:592:20                                            |    0 |      |
| new ArrayList<Type>(...)                                     | ArrayList<Type>()                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:704:34:704:54                                            |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:722:24:722:47                                            |    0 |      |
| new NullPointerException(...)                                | NullPointerException()                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:730:19:730:44                                            |    0 |      |
| new IllegalArgumentException(...)                            | IllegalArgumentException()                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:737:19:737:48                                            |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/Types.java:790:13:790:17                                            |    0 |      |
| new BooleanArrayStringConverterFactory(...)                  | BooleanArrayStringConverterFactory()                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:37:59:37:98         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:40:13:40:46         |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:63:18:100:9         |    0 |      |
| super(...)                                                   | BooleanArrayStringConverter()                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:63:9:63:16          |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanArrayStringConverterFactory.java:62:10:62:36         |    0 |      |
| new BooleanObjectArrayStringConverterFactory(...)            | BooleanObjectArrayStringConverterFactory()            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:38:13:38:58   |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:41:13:41:52   |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:64:18:103:9   |    0 |      |
| super(...)                                                   | BooleanArrayStringConverter()                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:64:9:64:16    |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/BooleanObjectArrayStringConverterFactory.java:63:10:63:36   |    0 |      |
| new ByteObjectArrayStringConverterFactory(...)               | ByteObjectArrayStringConverterFactory()               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:38:13:38:55      |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:41:13:41:49      |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:64:18:106:9      |    0 |      |
| super(...)                                                   | ByteArrayStringConverter()                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:64:9:64:16       |    0 |      |
