| GraphConnector                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:28:18:28:31                      | addVertex                            | addVertex(N)                                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:46:21:46:29                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:46:21:46:29                      |
| GraphConnector                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:28:18:28:31                      | addEdge                              | addEdge(A)                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:37:45:37:51                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/GraphConnector.java:37:45:37:51                      |
| HeadVertexConnector               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/HeadVertexConnector.java:28:18:28:36                 | from                                 | from(H)                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/HeadVertexConnector.java:37:45:37:48                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/HeadVertexConnector.java:37:45:37:48                 |
| TailVertexConnector               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/TailVertexConnector.java:28:18:28:36                 | to                                   | to(T)                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/TailVertexConnector.java:36:24:36:25                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/builder/TailVertexConnector.java:36:24:36:25                 |
| ColoringAlgorithmsSelector        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:29:18:29:43         | applyingGreedyAlgorithm              | applyingGreedyAlgorithm()                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:53:27:53:49         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:53:27:53:49         |
| ColoringAlgorithmsSelector        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:29:18:29:43         | applyingBackTrackingAlgorithm        | applyingBackTrackingAlgorithm(ColoredVertices<V,C>)    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:46:27:46:55         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:46:27:46:55         |
| ColoringAlgorithmsSelector        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:29:18:29:43         | applyingBackTrackingAlgorithm        | applyingBackTrackingAlgorithm()                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:37:27:37:55         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/coloring/ColoringAlgorithmsSelector.java:37:27:37:55         |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | onCompleted                          | onCompleted()                                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:87:7:87:17                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:87:7:87:17                      |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | finishVertex                         | finishVertex(V)                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:80:16:80:27                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:80:16:80:27                     |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | finishGraph                          | finishGraph(G)                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:71:10:71:20                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:71:10:71:20                     |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | finishEdge                           | finishEdge(V, E, V)                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:68:16:68:25                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:68:16:68:25                     |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | discoverVertex                       | discoverVertex(V)                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:59:16:59:29                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:59:16:59:29                     |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | discoverGraph                        | discoverGraph(G)                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:45:10:45:22                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:45:10:45:22                     |
| GraphVisitHandler                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:28:18:28:34                     | discoverEdge                         | discoverEdge(V, E, V)                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:42:16:42:27                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-graph/src/main/java/org/apache/commons/graph/visit/GraphVisitHandler.java:42:16:42:27                     |
