| new LinkedList<List<V>>(...)                                                       | LinkedList<List<V>>()                                                       | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/DefaultConnectivityAlgorithmsSelector.java:66:55:66:79    |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/connectivity/DefaultConnectivityBuilder.java:43:12:43:37               |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/elo/DefaultKFactorBuilder.java:42:12:42:32                             |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/elo/DefaultRankingSelector.java:40:12:40:33                            |    0 |      |
| new GameResult(...)                                                                | GameResult()                                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/elo/GameResult.java:26:5:26:7                                          |    0 |      |
| new GameResult(...)                                                                | GameResult()                                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/elo/GameResult.java:29:5:29:8                                          |    0 |      |
| super(...)                                                                         | Enum(String, int)                                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/elo/GameResult.java:23:13:23:22                                        |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/AbstractExporter.java:56:12:56:27                               |    0 |      |
| new HashMap<String,Mapper<V,?>>(...)                                               | HashMap<String,Mapper<V,?>>()                                               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/AbstractExporter.java:59:33:59:67                               |    0 |      |
| new HashMap<String,Mapper<E,?>>(...)                                               | HashMap<String,Mapper<E,?>>()                                               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/AbstractExporter.java:60:31:60:65                               |    0 |      |
| new Date(...)                                                                      | Date()                                                                      | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/AbstractExporter.java:120:79:120:88                             |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/DefaultExportSelector.java:43:12:43:32                          |    0 |      |
| new HashMap<V,Integer>(...)                                                        | HashMap<V,Integer>()                                                        | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/export/DotExporter.java:90:45:90:69                                    |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultFlowWeightedEdgesBuilder.java:43:12:43:42                  |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultFromHeadBuilder.java:40:12:40:33                           |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:50:16:50:26                  |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:67:16:67:28                  |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:88:12:88:42                  |    0 |      |
