| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/MatchRatingApproachEncoder.java:33:14:33:39         |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/MatchRatingApproachEncoder.java:338:34:338:52       |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/Metaphone.java:68:12:68:20                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/Nysiis.java:165:12:165:17                           |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/RefinedSoundex.java:71:12:71:25                     |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/RefinedSoundex.java:189:36:189:54                   |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/Soundex.java:135:12:135:18                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/SoundexUtils.java:30:13:30:24                       |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/BeiderMorseEncoder.java:81:14:81:31              |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Lang.java:86:17:86:24                            |    0 |      |
| new ArrayList<LangRule>(...)                    | ArrayList<LangRule>()                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Lang.java:136:38:136:54                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Lang.java:188:13:188:16                          |    0 |      |
| new NoLanguage(...)                             | NoLanguage()                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:267:52:267:67                     |    0 |      |
| new AnyLanguage(...)                            | AnyLanguage()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:270:52:270:68                     |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:62:34:62:44                       |    0 |      |
| super(...)                                      | LanguageSet()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:83:13:83:20                       |    0 |      |
| super(...)                                      | LanguageSet()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:118:13:118:20                     |    0 |      |
| super(...)                                      | LanguageSet()                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:155:17:155:29                     |    0 |      |
| new HashSet<String>(...)                        | HashSet<String>()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:237:32:237:46                     |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Languages.java:272:13:272:21                     |    0 |      |
| super(...)                                      | Enum(String, int)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/NameType.java:40:5:40:12                         |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:76:16:76:29                  |    0 |      |
| new LinkedHashSet<Phoneme>(...)                 | LinkedHashSet<Phoneme>()                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:81:33:81:53                  |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:148:38:148:56                |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:184:16:184:31                |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:275:34:275:52                |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:320:12:320:25                |    0 |      |
| new ArrayList<String>(...)                      | ArrayList<String>()                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:432:37:432:53                |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/PhoneticEngine.java:459:42:459:60                |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/ResourceConstants.java:29:7:29:23                |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:224:13:228:13                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:224:17:224:24                          |    0 |      |
| new HashMap<String,Map<String,List<Rule>>>(...) | HashMap<String,Map<String,List<Rule>>>() | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:247:65:247:79                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:91:17:112:17                           |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:91:21:91:39                            |    0 |      |
